<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20160104,130100,98.65,98.65,98.61,98.64,10160
SBER,1,20160105,101400,98.27,98.29,98.14,98.24,167410
SBER,1,20160106,170900,97.7,97.7,97.64,97.69,90760
SBER,1,20160111,151900,92.65,92.7,92.56,92.68,41680
SBER,1,20160112,165100,92.4,92.42,92.3,92.42,121660
SBER,1,20160113,115700,93.28,93.28,93.21,93.26,61570
SBER,1,20160114,113700,91.35,91.35,91.31,91.34,1750
SBER,1,20160114,134900,91.19,91.19,91.11,91.17,19510
SBER,1,20160114,180200,91.22,91.25,91.04,91.18,687530
SBER,1,20160115,165300,86.95,86.99,86.85,86.99,279310
SBER,1,20160118,115000,87.69,87.7,87.6,87.66,144560
SBER,1,20160119,114600,88.61,88.61,88.49,88.59,92430
SBER,1,20160119,133600,89.16,89.18,89.11,89.18,118790
SBER,1,20160119,173600,87.06,87.07,86.88,87,1149120
SBER,1,20160120,101100,84,84,83.75,83.93,1000150
SBER,1,20160120,133300,83.86,83.89,83.81,83.88,76860
SBER,1,20160120,141600,83.27,83.27,83.12,83.25,527580
SBER,1,20160121,120800,84.08,84.16,83.85,84.16,864430
SBER,1,20160121,132800,86.24,86.25,86.12,86.22,278710
SBER,1,20160122,110400,88.35,88.39,88.25,88.38,467180
SBER,1,20160125,123000,91.7,91.7,91.57,91.68,212790
SBER,1,20160125,150100,91.51,91.51,91.35,91.49,479830
SBER,1,20160126,131300,90.4,90.41,90.3,90.37,286070
SBER,1,20160127,100900,91.61,91.62,91.47,91.57,434990
SBER,1,20160129,113500,98.07,98.07,97.97,98.04,71390
SBER,1,20160129,135500,95.25,95.3,95.12,95.28,1201940
SBER,1,20160201,121200,96.83,96.9,96.62,96.88,99450
SBER,1,20160202,122500,94.86,94.91,94.72,94.91,1525390
SBER,1,20160202,142500,94.72,94.75,94.55,94.74,583540
SBER,1,20160203,132700,95.88,95.9,95.83,95.9,33340
SBER,1,20160203,140800,95.75,95.75,95.71,95.74,10130
SBER,1,20160204,123500,97.77,97.8,97.7,97.8,117930
